country,sex,suicide_rate
Albania,female,2.2139444058432924
Albania,male,4.11618564132622
Antigua and Barbuda,female,0.09623018259677149
Antigua and Barbuda,male,1.0514661117729507
Argentina,female,3.4595103102232523
Argentina,male,12.620658017994328
Armenia,female,1.223500463002236
Armenia,male,3.822123780698465
Aruba,female,2.5779410136767353
Aruba,male,13.99449549843728
Australia,female,5.611996308180855
Australia,male,20.344674095013396
Austria,female,10.446230342997046
Austria,male,31.374961623567398
Azerbaijan,female,0.7189800256180262
Azerbaijan,male,2.283117593403185
Bahamas,female,0.4164983319241807
Bahamas,male,2.4720795821872583
Bahrain,female,1.2280463685747847
Bahrain,male,3.7404118984553367
Barbados,female,1.015497726208273
Barbados,male,4.8582127242664015
Belarus,female,9.467775556924007
Belarus,male,54.38803340295198
Belgium,female,11.601107997272619
Belgium,male,30.227316730570895
Belize,female,1.625835352610215
Belize,male,9.42209261821871
Bosnia and Herzegovina,female,1.8664252756643476
Bosnia and Herzegovina,male,6.933191985677367
Brazil,female,1.9880509075286097
Brazil,male,7.428971923747121
Bulgaria,female,8.388645049944122
Bulgaria,male,23.357243388390565
Cabo Verde,female,2.1961418180540426
Cabo Verde,male,16.480555171999093
Canada,female,5.785690792880047
Canada,male,20.43276356498082
Chile,female,3.153149713500083
Chile,male,16.1511179031275
Colombia,female,2.019211234605775
Colombia,male,7.641508611797302
Costa Rica,female,1.9226745467388044
Costa Rica,male,11.340639126660367
Croatia,female,9.799985338802683
Croatia,male,31.24049003731823
Cuba,female,9.286383763249155
Cuba,male,23.592742823762347
Cyprus,female,1.3816038769826648
Cyprus,male,5.817714093200838
Czech Republic,female,6.820322552060701
Czech Republic,male,26.796042482837887
Denmark,female,7.623609860101212
Denmark,male,19.798514374934474
Dominica,female,0
Dominica,male,0
Ecuador,female,3.62440958161653
Ecuador,male,8.374308770403356
El Salvador,female,5.114343416922651
El Salvador,male,14.065592557874396
Estonia,female,9.562435184983695
Estonia,male,45.043710605218664
Fiji,female,2.2637722555555087
Fiji,male,5.110914032986271
Finland,female,10.520495470288054
Finland,male,37.642841358696344
France,female,10.37609505419778
France,male,29.630971826331354
Georgia,female,1.400613929044979
Georgia,male,5.743590674951361
Germany,female,7.674196394479082
Germany,male,21.450679040406197
Greece,female,1.5824477290258374
Greece,male,6.316793194708131
Grenada,female,0.337801889325967
Grenada,male,2.923071632449534
Guatemala,female,1.2651326423605895
Guatemala,male,4.133708053254422
Guyana,female,9.771251187212991
Guyana,male,31.71556392656193
Hungary,female,13.859000252805304
Hungary,male,47.293859534727325
Iceland,female,6.088924079951632
Iceland,male,20.213404259554327
Ireland,female,4.464203101679502
Ireland,male,18.704636913304387
Israel,female,3.0553942638135214
Israel,male,10.094305164076818
Italy,female,3.7127927853163256
Italy,male,11.957488214744513
Jamaica,female,0.1300735370741849
Jamaica,male,0.810542219913032
Japan,female,13.350576663602967
Japan,male,30.913063997118932
Kazakhstan,female,9.253134096643523
Kazakhstan,male,46.00453565020765
Kiribati,female,2.649855980327469
Kiribati,male,11.805824389734973
Kuwait,female,1.3563157813153939
Kuwait,male,1.9044881166958054
Kyrgyzstan,female,4.500382916539622
Kyrgyzstan,male,18.474996090876054
Latvia,female,10.162973174926787
Latvia,male,50.20144451048473
Lithuania,female,13.686921890749794
Lithuania,male,73.16604020548257
Luxembourg,female,8.240608746843634
Luxembourg,male,22.208378581336305
Macau,female,6.714902046366398
Macau,male,8.93734918223255
Maldives,female,0.4405360736635054
Maldives,male,0.9101139007546795
Malta,female,1.9380643951847205
Malta,male,8.556034913666005
Mauritius,female,5.906096741983349
Mauritius,male,17.500848631181903
Mexico,female,1.3834005091722419
Mexico,male,6.674841462536265
Mongolia,female,4.644636204403294
Mongolia,male,35.400155340843384
Montenegro,female,4.847001372307264
Montenegro,male,11.45269791344414
Netherlands,female,7.014227175556893
Netherlands,male,14.468805820242194
New Zealand,female,6.380967940533563
New Zealand,male,21.83234941261715
Nicaragua,female,2.981060432465282
Nicaragua,male,9.830556142363918
Norway,female,7.259948973638466
Norway,male,19.39914111945954
Oman,female,0
Oman,male,0.5840258316395109
Panama,female,1.4656671618159811
Panama,male,8.408626531942224
Paraguay,female,2.366061973545121
Paraguay,male,5.274103115058778
Philippines,female,0.9954579084952095
Philippines,male,2.999277838450927
Poland,female,4.705412514733427
Poland,male,28.20116175024502
Portugal,female,4.315329707756013
Portugal,male,14.533388063748442
Puerto Rico,female,1.9230846423628178
Puerto Rico,male,15.7951412295002
Qatar,female,0.9385802472032655
Qatar,male,3.1674358579126958
Republic of Korea,female,12.204017437863541
Republic of Korea,male,26.41830824646662
Romania,female,4.474410055636143
Romania,male,21.249224641304743
Russian Federation,female,10.820861949150215
Russian Federation,male,58.208108421922496
Saint Kitts and Nevis,female,0
Saint Kitts and Nevis,male,0
Saint Lucia,female,1.6980285888083935
Saint Lucia,male,10.271470780285902
Saint Vincent and Grenadines,female,0.9062082680794729
Saint Vincent and Grenadines,male,9.233436807747589
San Marino,female,0
San Marino,male,10.428072370822253
Serbia,female,10.413012598174745
Serbia,male,28.460978627220257
Seychelles,female,1.291665171683829
Seychelles,male,12.78660308803648
Singapore,female,8.014215735461493
Singapore,male,13.420288961671647
Slovakia,female,3.5128396110154942
Slovakia,male,21.05078401582042
Slovenia,female,11.196394041281037
Slovenia,male,42.17992424357742
South Africa,female,0.3589242105786297
South Africa,male,1.3399813622392984
Spain,female,3.938637858251596
Spain,male,12.561035614971983
Sri Lanka,female,14.866677347467267
Sri Lanka,male,46.170999468434445
Suriname,female,9.81240851613407
Suriname,male,27.313064464301583
Sweden,female,8.736713972109547
Sweden,male,21.23912547318249
Switzerland,female,10.10601469277944
Switzerland,male,25.168951593301017
Thailand,female,3.49346056095424
Thailand,male,10.576725920122682
Trinidad and Tobago,female,5.24639368016858
Trinidad and Tobago,male,20.61702087186749
Turkey,female,1.0667948758383023
Turkey,male,3.127044640902777
Turkmenistan,female,3.566428170290479
Turkmenistan,male,11.491636006020645
