country,continent,1995,2015
Antigua and Barbuda,Americas,0,1.0882695426003113
Argentina,Americas,7.031334741301754,7.740627467907504
Armenia,Asia,3.7755576208178443,2.647267679902409
Australia,Oceania,12.942628964052894,13.610131117224505
Austria,Europe,23.91323827776537,15.220114981824675
Belgium,Europe,22.61968489886744,17.57282982610899
Belize,Americas,7.75623268698061,8.129191614426189
Brazil,Americas,4.514323726091308,5.8418390756235565
Chile,Americas,7.210619800842681,11.095198067093351
Colombia,Americas,3.4752757850428906,5.241577025098006
Croatia,Europe,20.65637924133944,18.467294521360962
Cuba,Americas,21.852012115967113,13.949321588453838
Czech Republic,Europe,17.78475621645475,13.884822047535744
Denmark,Europe,18.899183898877094,10.477312160741288
Ecuador,Americas,5.481617856340048,7.382676676466201
Estonia,Europe,43.78428940088497,15.682174594877155
Finland,Europe,29.029761780268966,14.107075209623225
Georgia,Asia,3.128648673158235,5.551700208188758
Germany,Europe,16.619491279538348,12.910709301545344
Greece,Europe,3.662774490300181,5.120369332530336
Grenada,Americas,1.1307995883889497,0
Guatemala,Americas,2.4417023317215785,3.4646250907447733
Hungary,Europe,34.56828869923001,19.894522818474513
Iceland,Europe,11.03391908459338,12.963695171671732
Israel,Asia,7.232255861140688,4.5501837369514835
Italy,Europe,8.43904893673155,6.8619374232946635
Japan,Asia,17.9544484767574,19.1831764904573
Kazakhstan,Asia,31.395100603084806,18.35524714650044
Kyrgyzstan,Asia,15.491370922312695,8.0256713705056
Latvia,Europe,43.12123636669895,20.634255423290156
Lithuania,Europe,50.01256218725541,32.5353695052082
Luxembourg,Europe,16.487830410887202,11.901485454153246
Malta,Europe,4.928964917367352,8.279818915489837
Mauritius,Africa,14.97097464100214,9.005514145584527
Mexico,Americas,3.5995300717779077,5.451307581032192
Netherlands,Europe,10.43940859472157,11.664446083293237
Norway,Europe,13.51118124214108,12.082961202021172
Poland,Europe,15.230619666582653,15.01943589825302
Puerto Rico,Americas,8.562572255962246,6.513867476230869
Qatar,Asia,0,2.8035632439265687
Republic of Korea,Asia,11.505261857002976,27.757373517189187
Romania,Europe,13.020189918559714,11.810902364072973
Russian Federation,Europe,43.53243399280019,18.560937227489777
Saint Vincent and Grenadines,Americas,7.2936420280492635,2.9718270792883463
Singapore,Asia,13.16312877445485,8.846190558775406
Slovenia,Europe,29.936305732484076,21.589741700739577
Spain,Europe,8.469415403766032,8.156332174367718
Sweden,Europe,16.373132515486457,12.968312991440913
Switzerland,Europe,21.443143180959577,13.59518185741353
Thailand,Asia,7.808180755135506,6.864042466239195
Turkmenistan,Asia,6.3904457597820965,2.7217767103501598
Ukraine,Europe,30.03389424417488,18.772874638689085
United Kingdom,Europe,7.881715596137897,8.038250678888389
United States,Americas,12.860445739956786,14.72581287235193
Uruguay,Americas,14.504982648372046,19.74429570060126
